type,id,name,disposition,period,duration,depth,prad,teq
koi,10797460,K00752.01,1,9.488035570,2.95750,615.8,2.26,793.0
koi,10797460,K00752.02,1,54.418382700,4.50700,874.8,2.83,443.0
koi,10811496,K00753.01,1,19.899139950,1.78220,10829.0,14.60,638.0
koi,10848459,K00754.01,0,1.736952453,2.40641,8079.2,33.46,1395.0
koi,10854555,K00755.01,1,2.525591777,1.65450,603.3,2.75,1406.0
koi,10872983,K00756.01,1,11.094320540,4.59450,1517.5,3.90,835.0
koi,10872983,K00756.02,1,4.134435120,3.14020,686.0,2.77,1160.0
koi,10872983,K00756.03,1,2.566588970,2.42900,226.5,1.59,1360.0
koi,6721123,K00114.01,0,7.361789580,5.02200,233.7,39.21,1342.0
koi,10910878,K00757.01,1,16.068646740,3.53470,4914.3,5.76,600.0
koi,11446443,K00001.01,1,2.470613377,1.74319,14231.0,13.04,1339.0
koi,10666592,K00002.01,1,2.204735417,3.88864,6674.7,16.10,2048.0
koi,6922244,K00010.01,1,3.522498429,3.19843,9145.7,14.59,1521.0
koi,10984090,K00112.02,1,3.709214104,2.63020,131.1,1.16,1206.0
koi,10419211,K00742.01,0,11.521446064,3.63990,17984.0,150.51,753.0
koi,10464078,K00743.01,0,19.403937760,12.21550,8918.7,7.18,523.0
koi,10480982,K00744.01,0,19.221388942,4.79843,74284.0,49.29,698.0
koi,10485250,K00745.01,0,16.469837740,9.43780,10479.0,7.94,595.0
koi,10526549,K00746.01,1,9.273581730,3.28750,1288.3,2.47,649.0
koi,10583066,K00747.01,1,6.029303290,1.58210,1912.7,2.85,678.0
koi,10583180,K00748.01,0,2.696370652,3.61290,397.9,1.58,1066.0
koi,10601284,K00749.01,1,5.349553819,3.02780,831.0,2.55,919.0
koi,10601284,K00749.02,1,3.941052210,2.59840,363.3,1.70,1018.0
koi,10601284,K00749.03,1,8.109048070,3.59600,217.4,1.30,800.0
koi,2306756,K00113.01,0,386.603052800,6.80570,24927.0,41.50,297.0
koi,10662202,K00750.01,1,21.676991930,3.45550,857.2,2.95,530.0
koi,10682541,K00751.01,1,4.996779680,2.17170,934.7,2.78,917.0
koi,11460018,K00769.01,1,4.280963604,2.87500,750.8,2.30,1012.0
koi,11463211,K00770.01,0,1.506354090,1.51550,2211.7,4.53,1452.0
koi,11465813,K00771.01,0,670.645531000,53.41200,18091.0,14.14,196.0
koi,11493732,K00772.01,0,61.256362800,7.63300,5123.3,39.87,505.0
koi,11507101,K00773.01,1,38.377548600,5.58800,724.2,2.82,529.0
koi,10910878,K00757.02,1,41.197255020,4.62970,2213.9,3.86,439.0
koi,10910878,K00757.03,1,6.252962249,2.58190,1036.9,2.65,823.0
koi,10987985,K00758.01,1,16.013084190,3.25540,1121.9,3.10,593.0
koi,11018648,K00759.01,1,32.628766720,4.79710,1804.8,3.36,506.0
koi,11018648,K00759.02,1,91.773286200,6.47300,652.0,2.12,359.0
koi,11138155,K00760.01,1,4.959319244,2.22739,9802.0,12.21,1103.0
koi,11152159,K00761.01,0,2.701287801,3.38270,860.4,6.54,1222.0
koi,11153539,K00762.01,1,4.498765110,3.73620,460.0,2.10,1133.0
koi,11242721,K00763.01,0,19.651209505,5.25140,11766.0,12.42,730.0
koi,9579641,K00115.01,1,5.412203927,2.94720,601.6,2.94,1093.0
koi,11304958,K00764.01,1,41.439586620,10.59890,2793.1,5.50,516.0
koi,11391957,K00765.01,1,8.353895230,2.25140,1041.6,2.52,790.0
koi,11403044,K00766.01,1,4.125543472,3.17440,1487.3,4.43,1243.0
koi,11414511,K00767.01,1,2.816504904,2.50587,16814.0,12.21,1219.0
koi,11442465,K00768.01,0,33.933734470,14.56100,8503.7,7.34,430.0
koi,12110942,K00786.01,1,3.689920099,2.65570,426.7,1.89,1147.0
koi,12366084,K00787.01,1,4.431238488,3.15000,1010.9,3.25,1104.0
koi,12366084,K00787.02,1,11.379369860,2.62550,1023.5,3.95,806.0
koi,12404086,K00788.01,1,26.394328970,3.57300,1510.9,3.07,489.0
koi,8395660,K00116.01,1,13.570782810,3.35390,511.7,2.64,785.0
koi,9579641,K00115.02,1,7.125943870,3.00140,192.4,1.79,997.0
koi,11656840,K00774.01,0,7.442652004,2.30780,24446.0,15.03,967.0
koi,11754553,K00775.01,1,16.384899880,3.02490,1127.1,2.00,433.0
koi,11754553,K00775.02,1,7.877416300,2.08050,1306.1,2.16,553.0
koi,11754553,K00775.03,1,36.445400100,4.00700,1122.3,1.99,332.0
koi,11812062,K00776.01,1,3.728732147,2.68300,5226.5,6.02,1023.0
koi,11818800,K00777.01,1,40.419503700,3.36200,6256.0,7.51,467.0
koi,11853255,K00778.01,1,2.243380573,1.11960,821.7,1.99,822.0
koi,11909839,K00779.01,0,10.405998015,6.50360,14489.0,11.23,833.0
koi,11918099,K00780.01,1,2.337437946,1.99820,971.2,2.34,1070.0
koi,11918099,K00780.02,1,7.240661200,0.55800,556.4,19.45,734.0
koi,9579641,K00115.03,1,3.435916310,3.13300,23.2,0.55,1272.0
koi,11923270,K00781.01,1,11.598222330,2.52370,2804.5,2.65,396.0
koi,11960862,K00782.01,1,6.575315881,4.30840,2793.3,5.31,1015.0
koi,12020329,K00783.01,1,7.275040844,7.53770,3001.0,4.86,833.0
koi,12066335,K00784.01,1,19.271538920,2.75940,1219.8,1.93,393.0
koi,12066335,K00784.02,1,10.065243170,1.36900,1053.3,1.91,488.0
koi,12070811,K00785.01,1,12.393565100,3.88960,916.6,2.66,677.0
koi,8395660,K00116.02,1,43.844397210,6.80200,615.2,2.87,531.0
koi,3120431,K00798.01,0,3.341913228,3.81300,725.3,21.55,1032.0
koi,3246984,K00799.01,0,1.626630225,2.11450,1620.6,32.43,1547.0
koi,3342970,K00800.01,1,2.711504086,3.00990,837.5,3.12,1420.0
koi,3342970,K00800.02,1,7.212037480,4.04910,950.4,3.32,1025.0
koi,12459725,K00789.01,0,14.179818700,2.50500,459.9,1.88,711.0
koi,12470844,K00790.01,1,8.472379110,2.72450,1123.5,2.59,751.0
koi,12470844,K00790.02,1,60.418936900,5.03900,931.3,2.36,390.0
koi,12644822,K00791.01,1,12.611904345,5.14970,6105.6,7.40,753.0
koi,2440757,K00792.01,0,1.433769925,1.88680,1976.3,46.58,1920.0
koi,2445129,K00793.01,0,10.318723010,3.83600,871.7,28.59,876.0
koi,2713049,K00794.01,1,2.539183147,2.42820,382.1,2.06,1332.0
koi,3114167,K00795.01,1,6.770300385,2.08440,1304.0,2.77,812.0
koi,3114661,K00796.01,0,0.444291966,2.07920,10967.0,27.51,1836.0
koi,3115833,K00797.01,1,10.181584004,3.50890,5741.1,7.73,812.0
koi,4139816,K00812.02,1,20.060363360,3.32030,1494.7,1.96,361.0
koi,4139816,K00812.03,1,46.184203900,4.75800,1394.7,1.83,273.0
koi,8395660,K00116.04,1,23.980085400,5.35100,104.0,1.31,649.0
koi,4139816,K00812.04,1,7.825021680,2.18600,520.8,1.20,494.0
koi,4275191,K00813.01,1,3.895936525,2.31110,8544.8,7.34,1005.0
koi,4476123,K00814.01,1,22.366464660,5.22800,986.8,2.32,536.0
koi,3351888,K00801.01,1,1.625522174,2.38963,7969.0,9.73,1579.0
koi,3453214,K00802.01,1,19.620346923,2.00380,21725.0,13.60,643.0
koi,3554600,K00803.01,0,7.544039000,6.22200,322.6,17.47,838.0
koi,3641726,K00804.01,1,9.029306890,3.14490,1019.8,2.57,757.0
koi,3734868,K00805.01,0,10.328035714,7.79150,16918.0,13.28,843.0
koi,3832474,K00806.01,1,143.206304700,8.93020,10566.0,8.90,308.0
koi,8395660,K00116.03,1,6.164876000,3.26200,55.8,0.79,1021.0
koi,3832474,K00806.02,1,60.324942160,6.61880,20280.0,12.19,411.0
koi,3832474,K00806.03,1,29.159861500,4.80300,488.0,1.91,524.0
koi,3836375,K00807.01,0,1.540397253,2.15410,816.1,25.69,1470.0
koi,3838486,K00808.01,0,2.990254430,5.41400,589.2,1.70,918.0
koi,3935914,K00809.01,1,1.594745374,1.96040,15044.0,11.30,1539.0
koi,3940418,K00810.01,1,4.783002698,2.33500,1008.7,2.50,886.0
koi,4049131,K00811.01,1,20.505889210,4.05950,2105.5,3.41,518.0
koi,4139816,K00812.01,1,3.340218842,1.91040,1632.6,2.03,656.0
koi,5287983,K00828.01,0,2.507089906,2.00670,1339.2,30.26,1326.0
koi,5358241,K00829.01,1,18.649327280,4.40560,893.6,3.12,701.0
koi,10875245,K00117.02,1,4.901449760,4.16540,140.7,1.70,1262.0
koi,5358241,K00829.02,1,9.751921010,4.79300,418.0,2.76,870.0
koi,5358241,K00829.03,1,38.557654600,5.79400,993.0,4.02,550.0
koi,5358624,K00830.01,1,3.525632539,2.59959,22335.0,11.58,975.0
koi,4544670,K00815.01,1,34.843986440,2.93150,4523.6,7.61,511.0
koi,4664847,K00816.01,1,7.748094239,3.59570,2472.1,5.52,964.0
koi,4725681,K00817.01,1,23.967936690,3.82700,1182.3,1.80,329.0
koi,4725681,K00817.02,1,8.295617380,1.34210,824.3,1.82,469.0
koi,4913852,K00818.01,1,8.114374820,2.27360,1558.0,2.10,460.0
koi,4932348,K00819.01,0,38.036729482,4.34617,82872.0,27.50,500.0
koi,4936180,K00820.01,1,4.640900310,35.51200,2450.6,30.09,1155.0
koi,11913073,K00011.01,0,3.747838198,5.06420,616.0,13.65,1031.0
koi,10875245,K00117.01,1,14.749148250,6.09950,430.2,2.89,874.0
koi,5021899,K00821.01,1,21.812959960,4.37910,1175.4,3.38,639.0
koi,5077629,K00822.01,0,7.919369370,3.31480,15148.0,10.34,814.0
koi,5115978,K00823.01,1,1.028436523,1.86060,8098.0,72.77,1947.0
koi,5164255,K00824.01,1,15.375623690,3.31690,15337.0,11.01,600.0
koi,5252423,K00825.01,1,8.103632710,3.16100,887.9,2.11,687.0
koi,5252423,K00825.02,1,4.715108430,2.50600,417.5,1.46,823.0
koi,5272878,K00826.01,1,6.365839713,2.97210,780.7,2.44,914.0
koi,5283542,K00827.01,0,5.975817540,3.06500,962.4,3.86,1047.0
koi,5649215,K00839.01,0,2.446737317,4.72110,1177.9,26.25,1261.0
koi,5651104,K00840.01,1,3.040330460,1.84110,10859.0,8.99,1021.0
koi,5792202,K00841.01,1,15.335286750,3.89700,3081.4,5.00,610.0
koi,10875245,K00117.04,1,7.958253280,4.37700,50.0,1.06,1074.0
koi,5792202,K00841.02,1,31.330461350,5.17600,5073.8,6.50,481.0
koi,5370302,K00831.01,0,3.904342500,3.83100,16228.0,12.28,1104.0
koi,5372966,K00832.01,0,9.286358079,3.49949,44791.0,17.61,796.0
koi,5376067,K00833.01,0,3.951405455,2.18620,2453.9,31.44,1133.0
koi,5436502,K00834.01,1,23.653694150,8.21830,3341.8,7.89,731.0
koi,5436502,K00834.02,1,13.233522140,6.73720,504.6,3.06,888.0
koi,5436502,K00834.03,1,6.155602850,4.98430,285.0,2.32,1146.0
koi,5436502,K00834.04,1,2.090811305,3.38800,115.9,1.62,1642.0
koi,10875245,K00117.03,1,3.180027898,3.57970,120.3,1.53,1458.0
koi,5436502,K00834.05,1,50.446741700,7.15900,370.3,2.67,568.0
koi,5456651,K00835.01,1,11.763071640,2.90760,1037.3,2.35,616.0
koi,5456651,K00835.02,1,56.227927100,3.57000,862.7,2.37,366.0
koi,5481416,K00836.01,0,2.384052875,3.09180,1268.1,17.06,1010.0
koi,5531576,K00837.01,1,7.953547000,2.63120,875.4,2.25,696.0
koi,5531576,K00837.02,1,4.144516560,2.34210,391.8,1.48,864.0
koi,5534814,K00838.01,0,4.859386384,2.27570,6044.3,38.33,1114.0
koi,6291653,K00850.01,1,10.526294577,2.52110,9768.0,8.24,713.0
koi,6392727,K00851.01,1,4.583520948,2.70550,3812.1,5.39,1038.0
koi,6422070,K00852.01,1,3.761818430,3.51760,510.6,2.66,1121.0
koi,6428700,K00853.01,1,8.203969580,2.96670,1024.4,3.01,742.0
koi,6428700,K00853.02,1,14.496451860,4.01600,647.5,3.01,613.0
koi,5792202,K00841.03,1,6.546261490,2.75000,655.9,2.19,810.0
koi,5794379,K00842.01,1,12.718098660,3.09570,1149.4,2.31,562.0
koi,5794379,K00842.02,1,36.065881630,4.32460,1563.8,2.64,397.0
koi,5881688,K00843.01,1,4.190425659,2.85890,2877.4,6.21,1234.0
koi,6022556,K00844.01,1,3.709870784,3.06940,2020.3,4.35,1151.0
koi,6032497,K00845.01,1,16.329752700,6.27100,1187.5,3.75,727.0
koi,6061119,K00846.01,1,27.807566216,4.21587,25391.0,13.84,554.0
