id,name,disposition,period,duration,depth,prad,teq
50365310,TOI-1000.01,0,2.1713484,2.0172196,656.8860989,5.8181633,3127.2040524
88863718,TOI-1001.01,1,1.9316462,3.166,1286.0,11.2154,4045.0
124709665,TOI-1002.01,0,1.8675574,1.408,1500.0,23.7529,2037.0
106997505,TOI-1003.01,0,2.74323,3.167,383.41,,1631.0
238597883,TOI-1004.01,0,3.5730141,3.37,755.0,11.3113,4260.0
169904935,TOI-1005.01,0,4.5505945,2.654,3731.0,7.10841,1257.0
156115721,TOI-1006.01,0,2.5047918,4.3797563,2270.5402194,8.6950898,1649.8220699
65212867,TOI-1007.01,1,6.9989206,3.953,2840.0,14.7752,1282.0
440801822,TOI-1008.01,0,2.0483755,2.767,483.0,3.19621,
107782586,TOI-1009.01,1,1.9600277,2.0065257,1707.6272693,,1456.4246534
231663901,TOI-101.01,1,1.4303699,1.6165994,18960.7122944,13.1874503,1525.9048089
139853601,TOI-1010.01,0,0.6808702,2.4634563,1507.8006889,5.9115908,4382.0266062
114018671,TOI-1011.01,1,2.4704981,2.191,250.0,1.44656,1364.0
427508467,TOI-1012.01,1,0.884182,1.621,1890.0,24.8132,5098.0
97700520,TOI-1013.01,0,5.4255548,3.9637474,14939.6342222,,1037.2753045
96246348,TOI-1014.01,0,1.4095184,0.9484999,2841.5103258,,1625.6180218
155044736,TOI-1015.01,0,1.3730466,2.5708515,1301.5065338,42.1479417,1912.3318636
175310067,TOI-1016.01,0,12.6889415,7.9201001,3232.8527885,14.0608342,1158.1310368
182943944,TOI-1017.01,0,1.10422,2.37,14177.7,21.0448,3926.0
291555748,TOI-1018.01,0,4.95912,2.509,7440.0,22.9123,1419.0
341420329,TOI-1019.01,1,5.2341008,3.7078139,20796.9416293,24.2931408,1574.8381848
149603524,TOI-102.01,1,4.4119378,3.65,15062.0,15.4706,1408.0
140706664,TOI-1020.01,0,3.28892,3.793,10518.9,,3661.0
143994283,TOI-1021.01,0,1.90879,1.909,618.482,3.34688,1561.0
47384844,TOI-1022.01,1,3.09574,4.475,380.0,3.4262,3230.0
238374636,TOI-1023.01,0,1.3214483,3.435,2180.0,21.8839,3827.0
141482386,TOI-1024.01,0,18.0157,2.524,610.0,21.644,463.0
297967252,TOI-1025.01,1,9.6837921,2.4006056,4238.2399008,,1914.698926
388624270,TOI-1026.01,0,14.2628757,6.9350494,913.2067174,2.4765813,980.3628831
20318757,TOI-1027.01,1,3.2834565,1.537,1558.0,2.87648,992.0
20318757,TOI-1027.02,1,11.02875,2.715,1694.0,2.76586,548.0
20318757,TOI-1027.03,1,5.0113292,1.024,1210.0,2.52314,567.0
447283466,TOI-1028.01,0,1.01606,2.843,240.0,1.20704,2023.0
374908020,TOI-1029.01,0,36.22214,5.107,7170.0,,
336732616,TOI-103.01,1,3.547854,3.494333,10424.3718,14.581841,1504.858953
464296022,TOI-1030.01,0,12.1246519,4.612,7279.0,17.6729,1057.0
304021498,TOI-1031.01,0,5.652623,3.434,1250.0,8.94354,2011.0
146589986,TOI-1032.01,1,5.6643704,3.8087395,3491.8232968,14.7738943,2385.8536488
149601557,TOI-1033.01,0,29.0160175,5.345,1389.0,6.77406,
400595342,TOI-1034.01,0,3.6404389,2.5339234,476.3077321,3.7025342,2783.098027
361413119,TOI-1035.01,1,6.0744477,2.4954821,5982.5212406,30.9493217,1583.9398898
146172354,TOI-1036.01,1,3.7795212,2.952,2761.0,5.98375,1294.0
363260203,TOI-1037.01,0,1.2025238,1.991,390.0,6.31106,5952.0
90544017,TOI-1038.01,0,3.2235985,2.159,680.0,5.51341,
461867584,TOI-1039.01,1,4.420125,3.956,2466.0,,
231670397,TOI-104.01,1,4.0872956,5.586113,3572.1712499,13.6237732,1755.0767383
310483807,TOI-1040.01,0,2.55555,1.566,340.0,11.5901,2145.0
385624852,TOI-1041.01,0,8.30792,3.228,8350.0,43.1068,1924.0
360286627,TOI-1042.01,1,0.758082,1.8184632,583.93181,10.1273702,5499.7476332
90448944,TOI-1043.01,0,1.4415577,2.349,507.0,3.61078,3174.0
463402815,TOI-1044.01,1,1.0085089,1.642,3051.0,,
54044474,TOI-1045.01,0,3.7039994,4.277,7590.0,17.57,2149.0
309787037,TOI-1046.01,0,1.3042553,1.706,914.0,9.36472,3569.0
370745311,TOI-1047.01,0,0.62627,0.666,1880.0,5.72162,2101.0
384549882,TOI-1048.01,0,0.30412,0.748,1330.0,10.417,6413.0
16288184,TOI-1049.01,1,2.1805277,2.969175,16340.1353205,16.808853,1654.404068
144065872,TOI-105.01,1,2.1846669,2.86528,11708.0228549,13.7028527,1549.4409801
66818296,TOI-1050.01,1,3.7354838,4.142,17030.0,21.2315,1670.0
259863352,TOI-1051.01,1,21.701669,8.2676424,211.6567325,2.3751494,685.2
317060587,TOI-1052.01,1,9.139804,3.0912936,358.4157801,3.0629855,1006.9932829
112395568,TOI-1053.01,0,5.742625,2.860293,1105.760867,13.088532,
366989877,TOI-1054.01,1,15.5077855,4.565,513.0,2.43432,853.0
320004517,TOI-1055.01,1,17.4713078,4.4284819,1199.7541483,3.5766828,689.3568807
421894914,TOI-1056.01,1,5.3079507,3.2158594,391.3830934,3.0486928,1263.9861129
323132914,TOI-1057.01,1,51.1701501,6.6641048,851.4547808,2.9366826,466.7322968
31553893,TOI-1058.01,1,11.1296441,7.0473822,951.6169809,12.8402271,1518.2372485
380783252,TOI-1059.01,1,9.4496506,2.021,19750.0,17.0216,694.0
38846515,TOI-106.01,1,2.8493825,3.567,8049.0,16.3869,1864.0
101230735,TOI-1060.01,1,2.0685633,0.373,502.0,3.89739,619.0
253990973,TOI-1061.01,0,0.540933,1.674337,257.347459,2.28501,
299799658,TOI-1062.01,1,4.1150576,1.08,487.0,2.30057,826.0
406976746,TOI-1063.01,1,10.0665238,2.4023189,839.9044871,2.7272824,694.1792631
79748331,TOI-1064.01,1,6.4438657,1.9309449,1121.9512275,2.460344,712.2812841
79748331,TOI-1064.02,1,12.2265595,2.1904379,1206.3693293,2.6014766,575.3502049
7088246,TOI-1065.01,1,2.160344,1.828854,19357.992992,22.503541,
201604954,TOI-1066.01,1,4.606184,3.121643,13793.034867,12.962219,
201642601,TOI-1067.01,1,3.1316735,2.4579197,14915.6943722,9.4995191,890.5622134
6663331,TOI-1068.01,1,3.180362,2.111521,21192.463324,13.446487,
31858843,TOI-1069.01,1,2.9776446,2.962,13022.0,14.4339,1461.0
92352620,TOI-107.01,1,3.9502008,4.444,13914.0,20.5357,1570.0
31858844,TOI-1070.01,0,2.9776152,3.25697,43218.111683,26.88423,1386.5
120247528,TOI-1071.01,1,3.5544026,2.0550535,10164.8753396,13.200677,1214.9876435
140830390,TOI-1072.01,0,12.8379689,9.8464123,10539.0192794,25.4886382,1225.0
158297421,TOI-1073.01,1,3.9228016,1.8736007,31510.9004906,13.3368705,788.0973496
327301957,TOI-1074.01,1,13.9428705,3.7522756,1015.395543,2.4233421,587.1759148
351601843,TOI-1075.01,1,0.6047392,1.0403847,1027.6833479,1.8625587,1222.5973095
360742636,TOI-1076.01,1,2.5495611,2.6173308,14921.4021936,12.9171288,1337.8645148
369960846,TOI-1077.01,1,1.6062693,1.9561305,16725.3019333,12.6436029,1374.8018137
370133522,TOI-1078.01,1,0.5182425,0.8565249,831.8920424,1.3485121,1019.3295979
379240073,TOI-1079.01,1,3.1644075,2.0576293,5603.4635466,14.8814743,1747.9490013
289793076,TOI-108.01,1,3.0440541,2.5984575,22236.0165376,12.1086799,1075.3184542
161032923,TOI-1080.01,1,3.9652485,1.0112593,3680.7544436,1.2305102,386.6684768
253728991,TOI-1081.01,1,2.98278,3.109528,6136.231662,11.467011,
261108236,TOI-1082.01,1,16.3469053,3.5865698,2212.4257252,3.5059571,441.7489067
322270620,TOI-1083.01,1,12.9802953,2.5034417,2407.2608671,2.4241912,376.2093904
380589029,TOI-1084.01,1,1.3484961,2.4074261,18463.7636682,15.8824638,1839.6713042
381979901,TOI-1085.01,1,3.2541181,4.341,13620.0,14.9476,
468148930,TOI-1086.01,1,3.7178828,5.5277827,4864.8405125,14.6986197,1689.4116185
426077080,TOI-1087.01,0,9.30992,3.464,2220.0,14.2968,1067.0
343648136,TOI-1088.01,1,1.15395,2.236,1550.0,5.48364,2148.0
129319156,TOI-1089.01,0,4.73703,3.902,2410.0,25.7144,4243.0
29344935,TOI-109.01,1,2.76676,2.6872178,14947.4387827,12.2867389,1209.5741229
